,0,1,2,3
2628,The Dream Is Still Alive, Wilson Phillips,spotify:track:70Xbo0Sqj5ed67EqZz1W5Z,1991
2629,Rhythm Of My Heart, Rod Stewart,spotify:track:6pceknxOgA22HKs99yPEm1,1991
2630,Baby Baby, Amy Grant,spotify:track:3IDsegNBHC4pjGCOMTQYlU,1991
2631,Miracle, Whitney Houston,spotify:track:6LuRPg5tHDwcyXvEvrtVxP,1991
2632,Touch Me (All Night Long), Cathy Dennis,spotify:track:4M47py84j3Fvm8F2llipkK,1991
2633,Silent Lucidity, Queensryche,spotify:track:6OSyCAmXT4Gkd3OQ2aPOaF,1991
2634,Here We Go, C+C Music Factory/F. Williams,N/A,1991
2635,Temptation, Corina,spotify:track:6WCJyL4KetAqEZYhRq5S3f,1991
2636,It Aint Over til Its Over, Lenny Kravitz,spotify:track:6VnpKLtfNH4Dk09YSGPSyR,1991
2637,Does Anybody Really Fall In Love Anymore?, Kane Roberts,spotify:track:0kKIjuEgtE5J930ugt5iJd,1991
2638,Every Heartbeat, Amy Grant,spotify:track:55lX3vm1G35mUpawXHK5Te,1991
2639,Dont Treat Me Bad, Firehouse,spotify:track:4lbhQdbiTpNP7GowZG8KsM,1991
2640,Ill Be There, The Escape Club,spotify:track:3zX2ZUPo0M8EULGmYJ87C6,1991
2641,You Cant Play With My Yo-Yo, Yo-Yo Featuring Ice Cube,N/A,1991
